time,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,gyr_x,gyr_y,gyr_z
1589542491.2733538,-2.44,-1.75,8.83,0.4477777777777778,-0.2344444444444445,-0.64,-1.0625,-1.875,-26.5625
1589542491.282989,-2.64,-1.79,8.92,0.4477777777777778,-0.2344444444444445,-0.64,0.125,0.25,-29.5
1589542491.2956305,-2.7,-1.92,9.49,0.4477777777777778,-0.2344444444444445,-0.64,1.125,0.75,-30.75
1589542491.3100314,-2.33,-1.67,7.96,0.4477777777777778,-0.2344444444444445,-0.64,1.8125,4.1875,-31.375
1589542491.3164847,-2.52,-1.83,8.65,0.4655555555555556,-0.21333333333333332,-0.6522222222222223,0.4375,2.0,-33.625
1589542491.3260741,-2.52,-1.99,9.92,0.4655555555555556,-0.21333333333333332,-0.6522222222222223,-2.375,-2.6875,-37.4375
1589542491.336517,-2.67,-1.92,8.93,0.4655555555555556,-0.21333333333333332,-0.6522222222222223,-0.125,1.5625,-39.5625
1589542491.3479714,-2.85,-2.1,9.12,0.4655555555555556,-0.21333333333333332,-0.6522222222222223,-1.0,0.125,-41.0625
1589542491.3547516,-2.4,-1.89,8.93,0.4655555555555556,-0.21333333333333332,-0.6522222222222223,0.0625,-0.125,-41.875
1589542491.3687615,-2.56,-2.01,9.0,0.4922222222222222,-0.1811111111111111,-0.6466666666666666,-0.3125,1.125,-43.5
1589542491.3751998,-2.44,-1.99,9.07,0.4922222222222222,-0.1811111111111111,-0.6466666666666666,-1.125,-0.0625,-45.875
1589542491.3875391,-2.55,-1.91,7.87,0.4922222222222222,-0.1811111111111111,-0.6466666666666666,2.3125,6.0625,-46.9375
1589542491.39484,-2.48,-1.77,8.6,0.4922222222222222,-0.1811111111111111,-0.6466666666666666,0.1875,3.1875,-49.6875
1589542491.4067333,-1.8,-2.06,9.52,0.4922222222222222,-0.1811111111111111,-0.6466666666666666,-2.125,-2.3125,-52.6875
1589542491.4138026,-1.43,-2.18,8.54,0.4988888888888889,-0.1688888888888889,-0.6666666666666666,1.1875,3.125,-58.4375
1589542491.4273806,-1.65,-2.44,9.26,0.4988888888888889,-0.1688888888888889,-0.6666666666666666,0.375,4.9375,-67.6875
1589542491.433152,-1.53,-2.1,8.69,0.4988888888888889,-0.1688888888888889,-0.6666666666666666,-0.8125,4.3125,-81.0625
1589542491.4457705,-2.41,-2.45,8.99,0.4988888888888889,-0.1688888888888889,-0.6666666666666666,-2.4375,3.5,-96.8125
1589542491.4614224,-2.2,-2.63,9.24,0.4988888888888889,-0.1688888888888889,-0.6666666666666666,-1.375,2.0625,-99.0625
1589542491.467033,-2.13,-2.75,9.17,0.4922222222222222,-0.14888888888888888,-0.6666666666666666,-1.625,5.3125,-100.4375
1589542491.4739687,-1.94,-2.76,8.62,0.4922222222222222,-0.14888888888888888,-0.6666666666666666,-0.5625,5.25,-106.0625
1589542491.4840007,-1.77,-3.0,9.23,0.4922222222222222,-0.14888888888888888,-0.6666666666666666,-2.625,3.625,-115.125
1589542491.495455,-1.66,-2.72,8.94,0.4922222222222222,-0.14888888888888888,-0.6666666666666666,-1.5625,5.5625,-124.5625
1589542491.5057335,-1.98,-2.9,8.26,0.4922222222222222,-0.14888888888888888,-0.6666666666666666,1.9375,9.25,-131.625
1589542491.5136006,-1.69,-2.81,8.79,0.5333333333333333,-0.17555555555555555,-0.6666666666666666,-4.8125,3.125,-138.5
1589542491.5253146,-2.23,-3.17,8.86,0.5333333333333333,-0.17555555555555555,-0.6666666666666666,-3.375,4.8125,-139.4375
1589542491.5396788,-2.04,-2.93,8.22,0.5333333333333333,-0.17555555555555555,-0.6666666666666666,0.375,9.5625,-137.4375
1589542491.545633,-2.12,-3.16,9.18,0.5333333333333333,-0.17555555555555555,-0.6666666666666666,-2.8125,4.75,-135.25
1589542491.5556881,-2.29,-3.25,9.42,0.5333333333333333,-0.17555555555555555,-0.6666666666666666,-1.0625,7.5625,-132.3125
